,Kolapur,Ahmedabad,Vellore,Agra,Cuttack,Guwahati,Kolkata,Aligarh,Madurai,Raipur,Thiruvananthapuram,Jhansi,Patiala,Visakhapatnam,Kota,Jaipur,Jammu,Goa,Chennai,Varanasi,Vadodara,Jamshedpur,Aurangabad,Jabalpur,Leh,Gandhinagar,Jaisalmer,Chandigarh,Hyderabad,Nashik,Ranchi,Pune,Jodhpur,Indore,Jalgaon,Nanded,Gangtok,Bhopal,Patna,Srinagar,Delhi,Gwalior,Solapur,Bangalore,Bikaner,Ghaziabad,Rajkot,Lucknow,Dwarka,Mumbai
Aurangabad,587.636,450.54,875.857,852.954,1103.54,1819.573,1384.151,930.625,1143.222,673.371,1267.889,712.579,1148.941,872.437,592.996,781.114,1423.562,523.716,918.774,993.073,348.497,1172.157,100000.0,600.234,1598.563,463.526,918.627,1209.594,429.389,162.81,1103.452,216.561,749.037,319.542,108.738,219.261,1584.588,431.042,1188.002,1574.008,986.846,757.748,224.506,800.326,924.564,1001.488,542.553,959.684,711.509,282.741
Jabalpur,853.919,755.166,1151.725,485.771,681.606,1240.153,865.811,553.282,1492.047,274.749,1651.382,293.667,859.452,696.137,460.232,588.726,1171.264,1066.05,1116.334,392.985,700.456,642.365,600.234,100000.0,1241.112,747.36,1019.072,895.102,657.651,726.846,550.456,816.056,780.854,421.454,523.892,520.742,986.938,261.02,590.7,1308.919,666.457,382.75,763.617,1154.187,856.01,664.082,944.206,419.286,1131.934,874.56
Leh,1276.881,1327.9,2371.199,775.893,1723.691,1623.994,1660.994,699.055,2694.575,1486.657,2840.036,962.522,454.011,1908.389,1005.725,821.128,299.97,2118.976,2351.193,1109.839,1383.501,1514.371,1598.563,1241.112,100000.0,1304.487,1025.053,389.713,1860.593,1612.384,1413.932,1772.308,975.624,1279.335,1489.963,1661.359,1298.315,1208.843,1194.757,255.213,615.157,884.186,1822.05,2346.475,793.806,604.757,1472.186,873.359,1566.451,1751.445
Gandhinagar,128.455,23.441,1335.3,695.213,1400.625,1958.903,1613.141,754.748,1581.245,951.779,1689.775,660.428,856.546,1266.525,404.582,519.275,1074.385,889.905,1382.28,1077.078,116.826,1389.719,463.526,747.36,1304.487,100000.0,461.741,925.416,886.115,374.754,1296.382,535.453,342.678,334.743,397.012,658.275,1669.471,486.39,1291.911,1221.171,750.625,647.651,654.892,1248.317,535.158,774.568,215.157,926.807,392.657,474.769
Jaisalmer,357.19,479.57,1794.045,717.183,1700.443,2088.865,1843.42,733.389,2042.659,1275.341,2148.539,803.611,647.993,1648.804,560.301,500.671,743.622,1342.93,1834.685,1236.232,578.21,1625.626,918.627,1019.072,1025.053,461.741,100000.0,712.837,1328.343,835.664,1519.974,993.444,238.806,701.415,838.091,1095.845,1766.096,787.433,1440.095,871.952,654.201,740.401,1116.543,1709.881,273.64,682.337,523.144,1008.585,560.164,920.272
Chandigarh,910.967,948.657,1998.122,411.133,1457.369,1550.396,1464.11,342.108,2315.096,1157.667,2457.313,604.129,69.747,1584.29,616.598,431.474,285.979,1729.373,1986.456,855.723,998.508,1283.779,1209.594,895.102,389.713,925.416,712.837,100000.0,1486.505,1223.267,1175.784,1382.736,611.077,890.76,1101.117,1280.194,1213.012,829.113,996.774,414.591,235.216,518.698,1433.428,1966.3,449.209,232.116,1105.039,592.203,1217.531,1363.749
Hyderabad,1012.846,875.34,511.621,1084.709,852.362,1682.527,1184.139,1161.95,838.665,540.98,994.547,901.764,1436.209,515.187,901.344,1089.489,1736.303,521.485,515.383,998.027,774.184,1006.9,429.389,657.651,1860.593,886.115,1328.343,1486.505,100000.0,571.768,975.298,503.809,1134.28,649.518,491.506,232.969,1516.689,659.163,1141.858,1883.94,1251.602,976.574,341.823,496.799,1289.616,1258.229,969.051,1076.93,1129.612,619.424
Nashik,484.865,356.129,973.135,902.576,1263.875,1960.725,1537.913,976.882,1207.029,828.612,1315.37,789.101,1158.454,1033.532,617.55,792.31,1411.924,522.316,1033.427,1115.197,260.569,1323.083,162.81,726.846,1612.384,374.754,835.664,1223.267,571.768,100000.0,1249.763,165.054,700.378,369.336,203.224,378.863,1713.48,518.673,1317.509,1561.66,1014.021,818.621,285.896,877.521,887.898,1032.316,400.944,1050.56,558.126,155.387
Ranchi,1398.628,1304.937,1347.797,848.612,326.335,720.719,323.879,877.408,1696.921,447.639,1870.845,717.509,1170.688,659.799,967.803,1035.346,1458.569,1479.582,1257.162,320.448,1250.471,109.797,1103.452,550.456,1413.932,1296.382,1519.974,1175.784,975.298,1249.763,100000.0,1307.542,1283.313,971.704,1048.82,954.205,549.331,810.389,248.875,1566.637,1002.289,789.677,1212.069,1410.583,1309.703,985.523,1494.648,586.156,1682.376,1386.146
Pune,638.528,515.603,840.031,1048.712,1280.252,2026.604,1577.224,1124.761,1052.67,868.255,1155.146,920.54,1318.793,1003.551,771.687,951.275,1576.04,357.309,914.641,1209.03,423.666,1370.539,216.561,816.056,1772.308,535.453,993.444,1382.736,503.809,165.054,1307.542,100000.0,865.132,510.035,311.109,369.307,1798.398,641.242,1402.031,1725.926,1169.18,958.993,167.784,732.354,1052.943,1186.311,526.18,1173.066,655.377,116.984
Jodhpur,301.554,365.698,1619.731,504.35,1461.953,1868.684,1607.043,535.401,1891.144,1039.772,2009.844,569.133,541.364,1421.771,321.53,285.757,733.394,1222.359,1647.66,1005.365,443.285,1388.331,749.037,780.854,975.624,342.678,238.806,611.077,1134.28,700.378,1283.313,865.132,100000.0,489.208,655.248,901.774,1551.864,555.163,1212.692,879.161,483.554,511.804,963.446,1549.363,192.532,511.209,496.776,789.19,609.171,815.082
